1101,aaaa,345890
1102,bbbb,488900
1103,cccc,215480
1104,dddd,314720
1105,eeee,826590
1106,ffff,548430
1107,gggg,235890
1108,hhhh,786900
1109,iiii,896480
1110,jjjj,305720
1111,kkkk,998790
1112,llll,332230
1113,mmmm,564590
1114,nnnn,493400
1115,oooo,202480
1116,pppp,143320
1117,qqqq,803590
1118,rrrr,212430
1119,ssss,545890
1120,tttt,648900
1121,uuuu,775480
1122,vvvv,714720
1123,wwww,826490
1124,xxxx,540100
1125,yyyy,344440
1126,zzzz,455520
1127,aaab,125480
1128,bbbc,394780
1129,cccd,402650
1130,dddf,548040
